transporttid	uv
20	blanding
50	online
25	fysisk
14	blanding
10	blanding
11	blanding
35	online
20	blanding
120	blanding
30	fysisk
30	online
5	fysisk
180	online
60	blanding
20	fysisk
25	blanding
120	fysisk
30	fysisk
20	fysisk
50	online
30	blanding
20	fysisk
40	blanding
60	blanding
5	fysisk
10	blanding
60	blanding
40	blanding
30	fysisk
20	fysisk
25	blanding
25	blanding
20	fysisk
10	blanding
15	blanding
5	fysisk
15	fysisk
10	fysisk
25	blanding
18	fysisk
15	blanding
10	blanding
45	fysisk
20	fysisk
15	fysisk
20	blanding
20	fysisk
20	blanding
50	fysisk
12	fysisk
30	fysisk
45	fysisk
8	blanding
10	fysisk
10	fysisk
30	fysisk
30	blanding
60	online
27	blanding
30	fysisk
6	fysisk
55	blanding
20	fysisk
10	fysisk
15	fysisk
15	fysisk
20	fysisk
35	blanding
20	fysisk
30	fysisk
25	blanding
40	fysisk
25	fysisk
15	fysisk
1	fysisk
45	fysisk
35	fysisk
5	fysisk
10	online
5	fysisk
10	fysisk
30	fysisk
10	fysisk
15	fysisk
30	online
15	fysisk
35	blanding
17	fysisk
20	blanding
5	blanding
50	online
15	blanding
30	blanding
15	blanding
35	blanding
70	blanding
20	fysisk
65	blanding
3	fysisk
25	blanding
20	fysisk
15	blanding
20	blanding
7	fysisk
0	online
60	fysisk
45	blanding
2	fysisk
15	blanding
90	blanding
90	online
30	online
30	blanding
15	fysisk
15	blanding
25	fysisk
30	online
45	online
15	blanding
64	blanding
25	fysisk
45	online
4	fysisk
55	blanding
15	fysisk
20	fysisk
40	blanding
30	fysisk
30	fysisk
25	fysisk
20	fysisk
10	blanding
25	blanding
10	fysisk
25	fysisk
10	fysisk
13	blanding
25	fysisk
20	fysisk
15	fysisk
15	fysisk
5	online
15	fysisk
15	blanding
12	fysisk
30	blanding
15	blanding
40	fysisk
15	fysisk
15	fysisk
20	fysisk
25	blanding
4	blanding
30	online
15	fysisk
1	fysisk
25	online
30	online
15	fysisk
20	fysisk
5	fysisk
15	blanding
40	fysisk
45	blanding
45	fysisk
25	blanding
70	blanding
10	fysisk
8	fysisk
40	fysisk
3	blanding
11	fysisk
10	fysisk
30	online
20	fysisk
5	fysisk
